YBP;Acacia;Alchemilla;Allophylus;Anthospermum;Apiaceae;Artemisia;Asteraceae;Carduus;Caryophylaceae;Chenopodiaceae;Combretum;Commiphora;Dodonaea;Ephedra;Erica;Euclea;Hagenia;Hypericum;Iridaceae;Juniperus;Lamiaceae;Leguminosae;Macaranga;Monoletes;Myrica;Olea;Poaceae;Podocarpus;Polygonum;Rumex;Senecio;Urticaceae;Undetermined
2111;0;9;0;0;6;3;23;4;2;5;7;0;5;0;13;0;29;1;2;81;2;1;0;0;3;18;58;83;0;0;0;0;3
2125;0;11;0;7;4;1;8;4;2;8;10;0;7;1;36;0;29;5;1;41;3;0;0;5;2;11;34;87;0;0;1;0;5
2139;0;7;0;3;9;0;6;2;5;8;8;0;7;0;28;0;22;1;5;62;4;3;0;5;4;18;86;95;0;0;2;2;1
2151;0;8;0;2;9;0;23;0;1;5;10;0;9;0;17;0;16;2;4;90;2;3;0;4;5;19;68;85;0;0;3;0;0
2166;0;5;0;9;2;4;7;4;2;5;8;0;7;0;21;0;40;2;0;92;2;4;0;2;1;10;31;83;0;0;0;0;1
2180;0;4;0;3;5;3;23;3;5;7;7;1;8;0;15;0;30;1;4;107;0;3;0;3;2;20;68;82;0;0;2;0;4
2195;0;1;0;2;8;5;21;0;2;4;5;0;9;1;2;0;20;4;1;109;0;5;0;0;0;18;62;97;0;0;2;1;5
2211;0;12;0;0;8;4;13;5;2;7;9;0;7;0;4;0;20;2;4;100;4;2;0;5;5;20;73;86;0;0;0;3;3
2226;0;3;0;8;2;0;11;4;3;5;6;0;10;0;15;0;37;4;4;99;3;3;0;5;3;15;24;89;0;0;3;0;1
2242;0;2;0;8;10;0;5;4;5;5;10;0;6;0;32;0;26;4;4;100;1;0;0;1;3;20;30;80;0;0;1;4;4
2316;0;8;0;11;12;1;10;4;4;4;8;0;10;0;5;0;31;1;4;98;0;5;0;2;5;10;45;81;0;0;1;0;2
2409;0;5;0;2;0;4;16;1;0;7;8;0;6;1;10;0;19;4;1;105;0;2;0;2;0;18;90;86;0;0;3;0;0
2505;0;12;0;10;2;4;12;5;4;5;8;0;5;0;8;0;23;1;2;104;3;5;0;3;5;13;31;82;0;0;2;0;4
2631;0;8;0;5;0;0;11;2;1;6;11;0;5;0;19;0;28;3;1;110;5;2;0;4;4;20;94;54;0;0;5;0;5
2723;0;3;0;9;13;4;13;4;3;6;13;0;10;0;14;0;35;5;2;92;5;2;0;4;4;17;72;40;0;0;4;0;5
2787;0;1;0;0;1;3;9;4;1;7;11;0;7;0;9;0;14;1;1;27;5;3;0;4;5;15;40;54;0;0;5;0;1
2820;0;9;0;7;3;4;18;0;2;4;12;0;9;0;12;0;37;2;0;57;0;5;0;0;5;16;64;38;0;0;0;0;3
2867;0;8;0;12;3;1;23;2;1;5;13;0;7;0;21;0;18;5;3;59;3;1;0;0;3;14;70;51;0;0;5;0;4
2948;0;12;0;8;10;4;17;2;2;4;12;0;5;2;32;0;16;1;1;24;3;5;0;4;3;20;33;41;0;0;2;0;1
3067;0;2;2;9;4;0;19;5;1;4;14;0;9;0;26;0;15;4;1;23;3;1;0;4;2;13;94;32;0;0;5;0;1
3273;0;0;4;2;11;2;22;5;3;8;14;0;5;0;14;0;17;1;1;31;0;4;0;4;5;11;78;36;0;0;0;0;0
3402;0;1;5;3;9;4;12;0;1;4;12;0;10;0;18;0;18;1;0;35;5;4;0;0;3;18;68;44;0;0;4;0;5
3450;0;4;2;6;3;0;24;0;2;6;11;0;5;1;21;0;18;2;5;28;1;4;0;4;0;21;62;60;0;0;3;0;3
3485;0;12;1;9;3;2;25;0;4;5;14;0;10;0;36;0;19;7;0;21;3;5;0;0;3;14;67;47;0;0;3;0;0
3536;0;7;2;3;1;4;5;0;1;5;11;0;7;0;10;0;12;1;3;59;4;1;0;5;2;14;79;48;0;0;0;0;1
3575;0;9;1;6;1;2;4;0;2;8;10;0;9;0;8;0;20;2;1;39;5;0;0;1;2;19;79;32;0;0;0;1;1
3622;0;9;5;9;11;2;20;0;3;5;15;0;8;5;5;0;15;2;2;45;0;0;0;1;2;18;106;52;0;0;4;0;1
3665;0;11;2;0;12;3;7;0;0;4;11;0;9;0;10;0;13;4;5;48;4;0;0;4;0;20;92;49;0;0;2;0;2
3760;0;5;0;0;5;24;10;0;2;6;12;0;6;0;22;0;4;1;1;51;1;2;0;1;3;20;93;111;0;0;3;0;4
3864;0;10;0;0;2;21;11;0;3;4;12;0;10;0;38;0;3;5;2;40;5;4;0;5;2;13;105;113;0;0;0;0;5
3933;0;7;0;9;6;25;31;0;4;5;13;0;9;2;27;0;2;3;5;21;0;1;0;2;2;20;109;115;0;0;1;0;2
4005;0;0;0;7;7;15;20;0;0;5;12;0;7;3;49;0;0;3;5;60;1;2;0;3;3;17;265;86;0;0;3;0;2
4093;0;12;0;0;3;17;22;0;0;6;10;0;10;5;75;0;3;1;5;52;1;1;0;4;4;19;130;119;0;0;3;0;0
4244;0;2;0;8;9;19;17;0;0;8;7;1;7;5;94;0;4;0;3;39;3;3;0;3;5;17;274;104;0;0;4;0;4
4340;0;10;0;3;11;21;21;0;1;11;10;0;5;4;42;0;0;3;5;35;1;4;0;4;4;12;154;99;0;0;2;0;5
4473;0;6;0;0;10;19;9;0;0;6;10;0;9;1;15;0;1;2;1;3;0;5;0;4;3;15;186;87;0;0;4;0;4
4549;0;3;0;0;2;22;32;0;4;8;10;0;9;2;10;0;5;1;4;10;0;0;0;2;15;10;120;82;0;0;0;0;5
4657;0;1;0;5;9;22;11;0;2;14;10;0;5;3;17;0;4;5;5;6;1;2;0;2;13;10;88;96;0;0;0;1;2
4735;0;9;0;8;14;25;45;0;4;8;7;0;5;5;21;0;3;3;2;8;4;0;0;2;14;12;32;92;0;0;1;0;1
4841;0;12;0;9;2;17;9;0;1;3;9;0;9;5;37;0;5;0;5;8;1;3;0;5;15;12;108;100;0;0;2;0;5
4934;0;3;0;3;5;2;34;0;3;16;9;0;8;5;42;0;5;2;1;3;1;1;0;5;14;16;40;95;0;0;4;0;1
5047;2;3;0;4;14;2;38;0;3;21;3;0;5;0;50;0;1;4;1;7;1;2;0;1;10;8;109;108;0;0;1;0;3
5175;1;10;0;3;8;7;31;0;1;5;1;0;5;0;20;0;0;2;0;12;4;3;0;4;12;1;89;98;0;0;3;0;4
5335;2;0;0;7;4;0;36;0;4;12;3;0;2;0;37;0;2;0;0;15;1;1;0;3;5;2;59;105;0;0;5;0;5
5397;4;8;0;3;10;1;31;0;2;10;1;0;5;0;36;0;0;0;2;13;2;4;0;3;3;3;75;85;0;0;0;0;2
5471;5;4;0;6;14;6;32;0;0;10;3;0;3;0;41;0;3;0;2;5;3;5;0;2;4;4;169;62;0;0;2;0;1
5538;0;5;0;5;13;7;12;0;4;11;3;0;0;0;28;0;3;0;2;14;2;2;0;3;4;4;138;94;0;0;2;0;5
5610;0;7;0;7;8;7;22;0;1;4;1;0;5;0;53;0;0;2;2;11;3;4;0;5;4;5;133;97;0;0;0;0;4
5709;0;6;0;0;3;5;36;0;5;1;4;0;2;0;48;0;5;2;0;15;1;5;1;4;1;0;159;75;0;0;3;0;4
5807;0;9;0;2;7;9;43;0;3;3;2;0;2;0;36;0;4;5;0;33;4;5;0;4;1;5;122;45;0;0;1;0;5
5880;0;10;0;9;0;8;29;0;2;4;0;0;2;0;21;0;2;5;3;31;5;3;0;4;0;5;192;32;0;0;1;0;1
5948;0;4;0;6;7;5;35;0;1;0;5;0;1;0;57;0;0;2;1;30;3;2;0;1;3;0;186;24;0;0;3;1;2
6038;0;7;0;9;6;1;25;0;5;5;4;0;1;0;64;0;3;3;1;39;2;5;2;4;0;2;121;29;0;0;1;0;2
6106;0;2;0;5;6;7;10;0;4;1;3;0;1;0;48;0;1;1;4;26;0;0;0;2;0;5;170;28;0;0;4;0;0
6147;0;3;0;8;13;5;2;0;2;4;1;0;1;0;35;0;1;2;0;32;1;3;0;4;2;5;133;32;0;0;1;0;5
6224;0;3;0;0;15;7;18;0;4;5;0;1;0;0;52;0;5;5;5;33;4;3;0;4;3;1;210;22;0;0;1;0;2
6280;0;11;0;12;4;8;31;0;0;0;2;0;1;0;69;0;5;1;4;36;5;4;0;5;1;0;174;29;0;0;2;0;3
6333;0;2;0;23;8;9;25;0;1;4;1;0;0;0;54;0;3;1;3;39;1;0;0;4;1;4;144;27;0;0;4;0;4
6365;0;11;0;18;4;1;25;0;1;1;3;0;0;0;48;0;4;5;2;23;3;0;0;4;3;0;208;21;0;0;2;0;2
6399;0;4;0;10;13;0;32;0;0;3;5;0;0;0;69;0;4;2;1;20;0;3;0;0;5;4;124;32;0;0;1;0;4
6456;0;1;0;11;9;3;38;0;2;5;4;2;2;0;86;0;2;5;0;16;4;2;0;3;5;1;127;25;0;0;4;0;2
6524;0;10;0;14;7;4;12;0;2;5;2;5;1;0;185;0;3;5;4;26;5;2;0;4;4;2;143;30;0;0;1;0;1
6560;0;9;0;6;1;7;17;0;4;1;5;2;2;0;105;0;0;1;4;32;1;4;0;1;0;3;104;37;0;0;4;0;0
6616;0;12;0;7;3;5;15;0;5;0;2;4;1;0;78;0;1;1;4;20;0;0;0;0;1;1;64;20;0;0;2;0;2
6644;0;6;0;13;9;9;7;0;5;1;0;0;0;0;114;0;0;1;5;26;2;2;0;5;2;1;90;28;0;0;3;0;1
6673;0;10;0;24;6;12;30;0;1;4;0;1;0;0;225;1;3;1;3;36;2;3;0;5;0;1;75;21;0;0;2;1;0
6702;0;2;0;9;7;4;29;0;0;1;2;2;0;0;48;1;4;4;3;28;5;3;0;4;3;1;95;36;0;0;2;0;0
6744;0;1;0;18;15;4;10;0;0;0;3;5;0;0;37;0;3;0;4;24;2;3;0;4;4;2;110;21;0;0;0;0;5
6801;0;5;0;8;6;1;36;0;2;1;1;0;0;0;42;1;5;2;4;21;3;0;0;2;4;0;112;40;0;0;4;0;4
6855;0;9;0;15;8;4;37;0;0;4;3;0;0;0;58;0;5;2;1;18;1;0;0;5;2;3;65;33;0;0;2;0;0
6908;0;1;0;8;3;0;33;0;3;0;2;4;0;0;36;2;5;4;1;25;4;5;0;1;1;1;113;20;0;0;2;0;5
6946;0;6;0;6;0;5;28;0;0;0;3;5;0;0;24;0;2;5;5;20;5;1;0;3;4;3;57;20;0;0;5;0;3
6994;0;5;0;25;13;0;31;0;4;4;5;4;0;0;13;1;3;4;5;24;3;1;1;4;1;1;108;14;0;0;2;0;1
7030;0;11;0;7;9;0;22;0;3;0;5;5;0;0;22;2;4;0;5;6;1;3;0;3;1;4;128;20;0;0;4;0;0
7055;0;7;0;22;12;5;33;0;4;2;1;2;0;0;30;3;0;0;4;5;4;2;0;4;5;4;82;14;0;0;1;0;1
7080;0;2;0;15;1;5;13;0;1;1;0;0;0;2;45;2;4;5;5;10;5;2;0;4;1;1;116;10;0;0;3;0;0
7157;0;3;0;11;11;5;7;0;5;1;2;4;0;5;150;0;0;1;2;7;2;0;0;4;2;5;189;18;0;0;3;0;2
7187;0;9;0;8;6;0;29;0;0;4;4;3;0;4;54;1;1;2;0;5;0;1;0;3;2;5;137;13;0;0;4;1;3
7269;0;9;0;23;9;3;8;0;4;2;3;1;0;3;90;0;0;2;5;10;5;2;0;0;0;0;136;15;0;0;2;0;1
7301;0;6;0;25;10;0;4;0;3;2;3;3;0;4;78;0;3;0;4;9;0;4;0;4;3;2;126;12;0;0;3;0;5
7355;0;11;0;7;2;1;29;0;5;2;1;1;0;2;65;1;5;3;2;5;1;0;0;3;1;3;149;10;0;0;4;0;5
7390;0;8;0;6;15;4;13;0;1;3;3;0;0;0;58;1;2;3;3;6;1;2;0;0;4;2;236;14;0;0;5;0;5
7424;0;0;0;10;6;4;10;0;5;2;0;4;0;5;69;0;2;5;1;6;2;4;0;4;2;4;198;14;0;0;5;0;5
7457;0;12;0;16;12;3;7;0;4;5;2;2;0;2;52;0;1;0;3;9;3;5;0;0;1;1;244;20;0;0;2;0;5
7488;0;0;0;25;6;1;8;0;1;0;0;1;0;4;41;0;1;1;3;7;3;5;0;4;2;5;252;14;0;0;5;1;4
7530;0;9;0;12;5;5;14;0;1;5;4;2;0;4;25;0;4;1;1;6;1;1;0;5;2;4;163;13;0;0;3;0;2
7545;0;3;0;11;14;1;17;0;1;1;3;1;0;1;68;0;0;0;5;6;5;5;0;3;2;5;215;13;0;0;3;0;3
7571;0;10;0;5;12;1;23;0;5;5;4;5;0;1;85;0;5;0;4;8;0;2;0;0;3;1;206;19;0;0;0;0;3
7593;0;9;0;25;7;5;11;0;2;0;1;1;0;0;36;0;3;1;5;9;5;5;0;0;4;1;188;14;0;0;5;0;2
7650;0;5;0;12;6;3;12;0;3;2;0;4;0;0;42;0;0;0;1;6;2;0;0;1;4;5;181;11;0;0;4;0;4
7704;0;7;0;18;14;0;8;0;3;0;4;1;0;0;75;0;2;2;5;10;5;2;0;4;0;5;166;17;0;0;2;0;5
7753;0;4;0;7;8;3;16;0;1;1;4;0;0;0;98;0;3;2;3;8;0;3;0;0;5;3;228;17;0;0;2;0;3
7802;0;0;0;17;6;1;10;0;1;3;5;0;0;0;115;0;0;0;3;7;3;4;0;4;2;2;249;11;0;0;3;0;0
7841;0;8;0;14;11;2;13;0;3;1;1;0;0;0;102;0;5;0;4;7;2;5;0;3;2;2;213;12;0;0;5;0;2
7869;0;6;0;7;2;2;31;0;0;4;5;0;0;0;94;0;1;2;1;8;0;0;0;1;0;4;234;19;0;0;5;0;3
7907;0;7;0;22;12;4;16;0;1;4;1;0;0;0;86;0;3;1;4;6;5;2;0;4;2;5;183;19;0;0;3;1;2
7944;0;8;0;9;9;0;15;0;2;3;3;0;0;0;75;0;4;0;2;9;0;4;0;3;1;5;175;13;0;0;3;0;3
8015;0;3;0;17;2;5;16;0;0;3;5;0;0;1;58;0;4;1;5;9;5;1;0;5;2;1;287;16;0;0;2;0;2
8088;0;6;0;16;1;0;23;0;0;5;4;0;0;2;36;0;0;2;4;8;2;4;0;2;2;5;393;20;0;0;3;0;1
8115;0;7;0;9;5;3;16;0;5;1;2;0;0;4;40;0;1;1;4;7;0;0;0;5;4;5;208;12;0;0;5;0;2
8156;0;4;0;14;11;3;20;0;5;0;1;0;0;3;78;0;1;2;4;8;1;0;0;3;4;5;234;14;0;0;3;2;1
8193;0;1;0;10;12;4;14;0;4;5;5;0;0;3;74;0;0;2;1;9;3;2;0;5;4;2;266;10;0;0;1;0;5
8231;0;7;0;8;10;0;25;0;1;4;0;0;0;5;145;0;1;2;2;5;3;4;0;3;3;2;253;12;0;0;3;0;0
8245;0;7;0;7;1;4;29;0;1;3;4;0;1;2;94;0;4;0;5;9;2;5;0;1;4;4;372;11;0;0;5;0;2
8294;1;3;0;2;6;2;28;0;2;5;1;0;2;1;75;0;2;1;4;8;5;0;0;3;3;0;220;17;0;0;2;0;4
8333;0;2;0;5;11;3;30;0;4;1;1;0;1;4;68;0;5;0;1;5;5;2;0;0;5;0;329;14;0;0;5;0;5
8398;0;8;0;13;14;1;16;0;2;3;3;0;2;1;119;0;5;1;0;7;4;4;0;0;2;3;233;13;0;0;5;1;5
8453;0;6;0;8;1;3;33;0;3;0;4;0;3;0;23;0;0;0;5;11;1;0;0;3;3;5;392;20;0;0;5;0;2
8505;0;1;0;24;2;2;30;0;5;5;3;0;2;4;25;0;1;2;2;10;0;5;0;3;2;4;325;11;0;0;2;0;5
8559;0;5;0;12;4;0;23;0;4;5;5;0;2;0;37;0;2;1;3;14;4;5;0;4;3;5;382;16;0;0;1;0;5
8646;0;5;0;24;0;3;31;0;5;4;2;0;2;0;48;0;1;2;4;9;4;0;0;0;4;3;340;16;0;0;2;0;5
8710;0;6;0;9;0;0;22;0;0;2;5;0;1;0;103;0;2;0;2;15;0;0;0;1;3;0;333;20;0;0;2;0;3
8759;0;5;0;6;1;4;29;0;3;0;0;0;1;0;75;0;4;1;5;8;4;2;0;4;3;1;426;12;0;0;4;0;0
8839;0;8;0;19;2;5;23;0;2;4;1;0;1;0;97;0;1;0;1;13;0;4;0;2;0;5;438;15;0;0;0;1;2
8888;0;0;0;12;3;4;29;0;2;4;3;0;1;0;65;0;1;0;5;18;5;1;0;1;4;1;335;20;0;0;2;0;3
8923;0;3;0;6;3;5;17;0;4;4;2;0;1;0;50;0;1;0;2;9;2;3;0;4;3;3;472;18;0;0;5;0;2
8998;0;8;0;23;4;0;24;0;0;3;1;0;2;0;73;0;4;2;0;16;1;3;0;3;5;3;349;13;0;0;5;0;1
9053;0;4;0;7;3;1;28;0;3;0;2;0;1;2;36;0;1;0;2;19;5;5;0;0;2;3;310;18;0;0;5;0;4
9088;2;5;0;17;3;1;17;0;2;4;5;0;2;1;105;0;3;0;3;5;5;0;0;2;1;4;341;11;0;0;0;1;2
9147;0;2;0;21;5;2;26;0;0;5;2;0;1;4;33;0;4;2;1;10;5;2;0;3;4;2;308;16;0;0;5;0;0
9203;0;8;0;17;1;4;21;0;3;3;3;0;2;3;58;0;5;2;1;8;5;2;0;4;1;2;467;14;0;0;1;1;5
9295;0;0;0;24;2;1;15;0;0;3;0;0;0;4;29;0;3;0;4;17;1;0;0;2;0;0;343;48;0;0;1;0;1
9348;0;3;0;13;3;5;31;0;3;0;3;0;0;2;93;0;5;2;5;10;3;0;0;5;0;1;471;44;0;0;0;1;4
9395;0;5;0;12;3;5;25;0;2;1;0;0;0;3;82;0;4;2;3;9;0;1;0;5;4;5;296;34;0;0;3;0;1
9457;0;7;0;17;4;5;28;0;1;2;3;0;0;3;85;0;0;2;2;7;1;0;0;0;1;3;445;36;0;0;2;0;4
9518;0;2;0;8;4;4;17;0;3;2;4;0;0;4;98;0;0;1;5;12;1;4;0;0;4;4;387;49;0;0;1;0;0
9583;0;7;0;15;5;1;30;0;2;5;2;0;0;3;107;0;4;0;1;0;2;5;0;0;5;3;344;30;0;0;1;0;5
9614;0;1;0;22;0;2;30;0;4;2;4;0;0;2;89;0;4;0;4;3;2;5;0;1;5;1;377;44;0;0;5;2;5
9670;0;1;0;22;2;1;37;0;4;2;5;0;0;2;68;0;1;1;2;9;0;2;0;2;10;1;299;36;0;0;2;1;4
9725;0;1;0;19;1;4;20;0;3;4;3;0;0;2;86;0;1;1;3;4;4;4;0;2;2;6;298;36;0;0;1;0;4
9814;0;8;0;10;1;2;22;0;0;0;3;0;0;1;75;0;3;2;0;10;3;3;0;4;5;4;291;36;0;0;3;1;4
9852;0;7;0;6;0;3;19;0;3;4;6;0;0;5;198;0;2;2;0;0;1;2;0;4;8;2;141;37;0;0;3;0;2
9868;0;7;0;2;1;1;28;0;1;1;6;0;0;0;58;0;1;0;0;10;1;1;0;0;6;4;161;50;0;0;5;0;2
9963;0;6;0;11;2;8;37;0;3;7;0;0;0;0;78;0;4;0;4;5;4;3;0;3;1;0;189;50;0;0;1;0;4
10036;0;7;0;9;1;8;30;0;4;19;4;0;0;0;45;0;1;1;3;2;4;4;0;0;8;4;125;38;0;0;5;0;1
10101;0;0;0;9;3;20;30;0;5;18;3;0;0;0;100;0;3;0;2;6;3;4;0;5;7;4;132;35;0;0;0;0;5
10164;0;8;0;4;4;5;43;0;4;15;2;0;1;0;31;0;0;3;5;10;1;2;0;1;9;5;193;50;0;0;3;0;3
10224;0;8;0;4;0;10;43;0;0;1;4;0;0;0;54;0;4;1;1;10;0;3;0;2;5;2;204;44;0;0;4;1;1
10276;0;6;0;3;0;13;36;0;1;7;0;0;0;2;67;0;0;5;0;9;3;4;0;3;0;3;207;39;0;0;3;0;2
10326;2;1;0;1;0;8;39;0;4;4;0;0;0;1;94;0;3;2;1;0;0;3;0;5;8;3;354;47;0;0;3;0;5
10381;0;8;0;13;1;9;45;0;0;13;1;0;0;0;98;0;5;2;3;8;2;4;0;0;9;4;258;30;0;0;1;0;1
10471;0;4;0;3;3;4;44;0;5;12;3;0;0;5;114;0;5;5;4;6;0;0;0;5;7;2;444;30;0;0;5;0;4
10545;0;7;0;14;5;15;39;0;3;30;1;0;0;5;51;0;3;0;0;2;2;4;0;3;9;5;234;41;0;0;4;0;4
10569;0;2;0;15;2;19;44;0;3;17;2;0;0;2;70;0;2;0;5;4;4;0;0;0;10;5;455;38;0;0;1;0;0
10588;0;3;0;9;5;3;32;0;3;22;3;0;0;2;72;0;3;0;1;8;4;2;0;1;3;2;152;38;0;0;5;0;0
10626;0;7;0;9;5;9;42;0;1;41;0;0;0;3;102;0;4;0;3;6;2;5;0;3;7;2;201;45;0;0;4;0;0
10643;0;3;0;0;0;14;28;0;5;44;0;0;0;2;28;0;5;0;3;4;3;1;0;1;4;5;301;44;0;0;5;0;2
10668;0;4;0;0;1;14;34;0;5;15;5;0;0;3;24;0;1;0;3;8;1;1;0;4;7;3;441;43;0;0;3;2;5
10717;0;3;0;0;5;20;34;0;2;16;3;0;0;1;60;0;2;0;3;0;1;0;0;5;4;0;382;42;0;0;0;1;5
10768;0;1;0;4;2;18;40;0;3;45;2;0;0;3;8;0;2;0;5;1;3;3;0;1;3;5;205;32;0;0;0;0;5
10779;0;7;0;13;1;19;44;0;4;40;0;0;0;0;96;0;0;0;4;4;3;2;0;1;2;5;244;34;0;0;2;0;2
10800;0;5;0;2;3;13;36;0;5;45;3;0;0;4;87;0;4;0;3;5;1;1;0;4;1;2;275;42;0;0;0;0;2
10818;0;0;0;1;2;4;42;0;0;35;5;0;0;0;121;0;2;0;4;15;1;3;0;3;1;3;427;39;0;0;3;0;5
10848;0;1;0;0;0;4;25;0;4;21;4;0;0;4;124;0;4;0;0;15;4;4;0;2;2;1;280;32;0;0;3;0;3
10863;0;0;0;1;2;19;24;0;2;22;1;0;0;0;76;0;1;0;1;20;3;3;0;2;4;0;145;33;0;0;3;0;1
10890;0;6;0;1;3;0;36;0;0;27;0;0;0;0;58;0;2;0;1;15;2;5;0;0;4;2;296;30;0;0;3;0;3
