Sample ID;Year;Acacia;Acalypha;Acanthaceae;Aerva-type;Afraegle;Alchornea;Allophylus;Amaranthaceae;Annonaceae;Antidesma;Apiaceae;Apocynaceae;Artemisia;Asteroideae;Balanites;Betula;Bombax;Borassus/Hyphaene;Brassicaceae;Capparaceae undiff.;Capparis;Cassia;Celtis;Chrozophora;Cissampelos cf. C. mucronata;Clematis;Combretaceae;Commelinaceae;Commiphora;Corylus;Cucurbitaceae;Detarium;Diospyros;Elaeis guineensis;Ephedra;Ericaceae;Euphorbiaceae undiff.;Fabaceae undiff.;Ficus;Grewia;Heliotropium;Hymenocardia;Indigofera;Ipomoea;Irvingiaceae;Khaya;Kohautia;Lamiaceae;Lannea/Sclerocarya;Laurembergia;Liliaceae;Lythraceae;Macaranga;Malvaceae;Menispermaceae undiff.;Mimosa pigra;Mitracarpus scaber;Mitragyna;Moraceae undiff.;Morelia senegalensis;Olea;Phoenix;Phyllanthus undiff.;Piliostigma;Pinus;Poaceae;Podocarpus;Polycarpaea;Polygonum cf. Persicaria senegalensis;Portulacaceae;Quercus;Rubiaceae undiff.;Salvadora;Sapindaceae;Securinega virosa;Sesbania;Solanum;Spermacoce;Syzygium;Uapaca;Urticaceae;Vernonia;Vitaceae undiff.;Vitex;Ximenia americana;Ziziphus
538720;757;;;1;;;;;2;;;;;;;;;;4;;;;;;;;;2;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;1;;;;;;;;;285;;;;;;;;;;;;1;;;;;;;;
538725;807;;;2;;;;;3;;;;;;;;;;5;;;;;;;;;3;;1;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;275;;1;;;;;;;1;;;1;;;;;;;;
538721;856;;;;;;;;6;;;;;;2;;;;2;;;;;;;;;;3;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;268;;;1;;;;3;;;;1;;;;;;;;;
538723;913;;;;;;;;4;;;;;;1;1;;;2;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;290;;2;;;;;;;1;;;;;;;;;;;
538722;996;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;407;;;;;;;;;;;;;;;;;;;;
538726;1088;;;;;;;;3;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304;;;;;;;1;;;;;;;;;;;;;
538724;1164;;;;;;;;5;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;1;;;;;;;;;310;;;;;;;1;;;;;;;;;;;;;
538727;1240;;;;;;;;9;;;;;;;;;;;;;;;1;;;;3;;;;;;;;3;;2;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;369;;;;;;;1;;;;;;;;;;;;;
538728;1317;;;;;;;;16;;;;;;;;;;1;;;;1;1;;1;;5;;;;;;;;4;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;336;;2;;;;;5;;;;;;;;;;;;;
538729;1424;1;;;;;;;9;;;;;;1;;;;1;;;;;;;;;1;;;;;;;;3;;;;;;;1;1;;1;;;1;;;;;1;;;;;1;;;;;;;;399;;;;;;;2;;;;;;;;;;;;;
538730;1500;2;;;;;;;12;;;;;;;1;;;2;;;;;;;1;;2;;;;;;;;4;;;1;2;;;;2;;;;;;;;;;;;1;1;3;;;;;;;;;380;;1;;;;;2;;;;;;;;;;;;;
538731;1576;;;;;;;;10;;;;;;1;;;;2;;;;;;;;;4;;;;;;;;6;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;316;;1;;;;;1;1;;;;;;;;;;;;
538732;1653;;;;;;;;9;;;;;;;;;;;;;;;;;;;2;;;;;;;;6;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;365;;;;;;;3;;1;;;;1;;;;;;;
538733;1729;;;;;;;;6;;;;;;;;;;;;;;;;;;;7;;;;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;3;;;;;;;;;371;;;;;;;2;;;;;;;;;;;;;
538734;1805;2;;;;;;;9;;;;;;;1;;;;;;;;1;;;;4;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;396;;;;;;;1;;;;;;;;;;;;;1
538736;1882;;;;;;1;;6;;;;;;;;;;2;1;;;;1;;;;7;;;;;1;;;2;;;1;;;;;;;3;;;;;;;;;;;;;;;;;1;;;;431;;;;;;;3;;;;;;;;;;;;;2
538741;1973;2;;;;;;;6;;;;;;;1;;;3;;;;;;;2;;6;;;;;;;;1;;1;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;343;;1;;;;;2;;;1;;;;;;;;;;
538737;2049;;;;;;;;12;;;;;1;;;;;;1;;;;1;;;;11;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;400;;;;;;;2;;;;;;;;;;;;;
538739;2126;1;;;;;;;10;;;;;;;;;;;;;;;;;1;;6;;;;;;;;;;;;1;;;;1;;;;;;;;;1;;;;;;1;;;;;;;;405;;;;;;;1;;;;;;;;;;;;;
538735;2246;;;;;;2;;6;;;;;1;;;;;1;;;;;1;;;;5;;;;1;1;;;1;;;1;;;;;;;2;;;;;;;;;;1;;1;1;;;;;;;;436;;;;;;;4;;;;;;;;;;1;;;
538740;2340;1;;;;;22;;9;;;;;1;;1;;;;2;;;;1;;;;3;;1;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;381;;;;;;;1;;;;;;;;;;;;;1
538738;2505;;;;;;2;;8;;;;;1;;1;;;;;;1;;;;2;;10;;;;;1;1;;;;;2;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;444;;;;;;1;4;;1;;;;;;;;;;;
538742;2623;2;;;1;;6;;10;;;;;;1;;;;;;;;;1;;;;9;;;;;;;;1;;;3;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;;402;;;;;;;2;;;;;1;1;;;;;;;1
538743;2764;1;;;;;1;;16;;;1;;;;;;;;2;;1;;4;1;1;;14;;;;;4;;;;;2;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;390;;1;;;;;;;1;;;;;;;;;;;
538745;2881;;;;;;5;;12;;;;;1;;;;;;;;;;1;;;;6;1;;;;1;;;;;;2;;;;;;;2;;1;1;;;;;;;;;1;1;;;;;;;;368;;;;;;;;;;;;;;;;;;;;
538744;3023;;1;;;;1;;7;;;;;;1;;;;1;;;1;;5;;;;10;1;;;;3;;;;;1;;;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;398;1;;;;;;;;;;1;;;;1;;;;;
538746;3140;;1;;;;7;;5;;;;;1;1;;;;1;;;;;3;;;;1;;;;;1;;;;;;2;;;;;2;;1;;;1;1;;;;;;1;;1;;;;1;;;;;421;;;;;;;1;;1;;;;;;;;;;;
538747;3258;;1;;;;4;;12;;;;;1;2;;;;2;;;1;;6;;;;7;;;;;5;;;;;1;2;;;;;;;2;;;1;;;;;;;3;;9;;;;;;;;;412;;;;;;;1;;;;;1;;;;;;2;;
538748;3375;;;;;;6;;6;;;;;1;1;;;;;;;;1;5;;2;;5;;;;;11;;;;;1;;;;;;;;;;;2;2;;;;;;2;;5;;1;;;;;;;386;;;;;;;;;3;;;;;;;;;6;;
538751;3493;;;;;;11;;2;;;;;2;;;;;;;;;;2;;1;;9;1;;;;12;;;;;1;;;;;;;;1;;;4;1;;;;;;3;;18;;;;1;;;;;361;;;;;;;;;;;;;4;;;;1;2;1;
538752;3611;;;;;;16;;7;;;;;;;;;;;;;1;;9;;;;9;;1;;;11;;;;;2;;;;;;;;;;;;1;;;;;;;;13;;;;;;;;;307;;;;;;;;;;;;1;20;;;;;3;2;
538750;3728;1;1;;;2;24;;3;;;;;;;;;;;;;;;9;;1;;17;;;;;14;;;;;4;1;;;;;;;2;1;;1;;;;;1;;2;;16;;1;;1;;1;;;304;;;;;;;;;1;;;4;9;;;;;3;1;
538749;3846;1;;;;;10;;7;;;;;1;;;1;;;;;;3;6;4;;;4;;;;;11;;;;;;2;;;;;;;3;;;1;1;3;;;;;1;;9;;;;;;2;;;334;;;;;;;;;;;;;2;1;;;1;3;2;
538753;3963;1;;;;;9;;7;;;;;;;;;;;1;;;1;4;;1;;14;;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;373;;2;;;;;;;;;;1;1;1;;;;2;1;
538754;4081;1;;;;;15;;5;;;;;;1;;;;;;;;;5;;;;11;;;;;8;;;;;3;1;;;;;1;;;1;;;1;1;;;;;;;4;;;;;;;;;419;;;;;;;;;1;;;;;;;;2;;;
538755;4199;;;;;;8;;2;;;;;;2;;;;;;;;2;4;;;;8;;;;;2;;;;;1;1;;;;;;;;;;1;1;;;;;;;;5;;;;;;;;;354;;;;;;;;;;;;;2;3;;;1;;;
538756;4316;1;;;;;10;;1;;;;;;;;;;;1;;;2;1;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;3;;;1;;;;;;353;;;;;;2;;;;;;;2;2;1;;1;;1;
538757;4458;;;;;;12;;1;;;;;;1;;;;;1;;;;3;;1;;5;;;;;1;;1;;;2;1;;;;;;;;;;;1;1;;;;;;;2;;;;1;;;;;419;;;;;;;1;;;;;;1;4;;;4;;;
538758;4565;;;;;;11;;3;;;;;;1;;;;;;;;;2;;;;11;;;;;3;;;;;1;;;;;1;;;;;;1;;2;;;;;3;;;;;1;;;;;;383;;;;;;1;;;;;;;1;3;;;1;;;
538759;4672;;;;;;29;;5;;;;;;2;;;;;;;;;2;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;3;;;1;;;;;;339;;;;;;;1;;;;;;3;1;;;;1;;
538760;4778;;;;;;22;;1;;;1;;;4;;;;;;;1;1;3;;;;8;;;;;4;;1;;1;;;;;;;1;;;;;1;;3;;;;;;;5;;;;;1;;;;391;;;;;;;;;;;;;;4;;;1;1;;
538761;4885;;;;;;29;;1;;;;;;;;;;;;;;;;;;;3;;;1;;9;1;;;;1;1;;;;1;2;;;1;;1;;3;;;;;1;;3;;;2;;;;;;369;;;;;;;;;;;;;;2;;;;;;
538762;4992;;;;1;;31;;3;;;;;;1;;;;;;;;;1;;;;6;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;3;;;2;4;;;;;401;;;;;;;;;;;;;;1;;;;1;;
538765;5098;;;;;;20;;2;;;;;;3;;;;;;;;;3;;;;9;1;;;;4;1;;;;2;3;;;1;;;;;1;;;;1;;;;;;;1;;1;1;;;;;;392;;;;;;;;;;;;;;3;;;2;4;;
538763;5269;;;;;;31;;2;;;;;;;;;;;;;;;;;;;4;;;;;2;;;;;;;;;;;;;1;;;;;2;;;;;;;2;;;1;;;;;;377;;;;;;;;;;;;;1;8;;;2;;;
538764;5375;;;;;;22;;1;;;;;;2;;;1;;;;;;;;1;;10;;;;;3;;;;;;4;1;;;;;;;;;2;;4;;;;;;;;;;1;;;;;;382;;;1;;;;;;;;;;;7;;;;2;1;
538766;5526;1;;;;;37;;3;;;;1;;;;;;;;;;;;1;;;9;;;;;3;;1;;;1;2;;;;;;;;;;;1;7;;;;;;;5;;;;;;;;;345;;;;;;;;;;;;;2;12;;;2;1;;
538767;5639;;;;;;17;;1;;;;;;;;;;;;;;;3;;;;7;;;;;2;;1;;;1;2;;;;;;;;;;;;;;;;;;;3;;;;;;1;;;399;;;;;;;1;;;;;;1;8;;;3;1;;
538769;5751;;;;;;12;;;;;;1;1;;;;;;;;;;8;;1;;16;;;;;5;;;;;;;;;;1;;;2;;;1;1;;;;;;;;;;;;;;1;;2;374;;;;;1;;;;;1;;;4;9;;;;;;
538768;5864;1;;;;;11;;1;1;;;;;;;;;;;;;;3;;1;;6;;;;;2;;;;;1;;;;;;;;2;;;;;1;;;;;;;;;;1;2;1;;;;276;;;;;;1;;;;;;;;6;;;;;;
538772;5976;2;;;;;17;;;;;;;1;2;;;;;;;;;7;;;;8;;;;;1;;;;;2;2;;;;4;;;;1;;;;3;;;1;1;1;;;;;1;;;1;;;383;;;1;;;1;;;;;;;3;16;;;1;;;
538770;6089;1;;;;;17;;3;;;;;;;;;;;;;;;1;;2;;12;;;;;5;1;;;;;2;;;;;;;;;;;1;4;1;1;;;;;1;;;1;;;;;;381;;;1;;;;;;;;;;3;9;;;1;1;;
538771;6202;1;1;;;;9;;;;;;;;1;;;;;;;1;;4;;1;;10;;;;;4;;;;1;1;;;;;;;;1;;;;1;1;;;;;;;;2;;;;;;;;400;;;;;;;;;;;;;4;14;;;1;;;
538775;6314;1;;;;;1;;2;;;;;;2;;;;;;;;;6;;;;4;;;;;1;;;;;;1;;;;2;;;;;;;;2;;;1;;;;;;;1;;;1;;;420;;;;1;;;;;;;;;3;5;;;1;;;
538773;6449;1;;;;;6;;4;;;;;;;;;;;1;;;1;4;;;;10;;;;;2;;;;;;1;;;;1;;;;2;;;;4;;;;;;;1;;;;;;;;;410;;;;;;1;;;;;;;3;16;;;;;;
538774;6562;5;;;;;2;;2;;;;;;;;;;;;;;1;2;;;1;5;;;;;4;;;;;2;1;;;;1;;;;;;;1;;3;;2;;;;1;;;2;;;2;;;403;;;;;;;;;;;;;3;12;;;;;;1
538776;6674;3;;;;;7;;;;;1;;;;;;;;1;;;;1;1;;;9;;;;;6;;;;;1;1;;;;;1;;;;;;;5;1;;;;;;;;;3;2;;;;;396;;;;;;;;;;;;;1;21;;;;;;
538777;6899;;;;;;9;;1;;;;;;;;;;;;;;;2;1;;;1;;;2;;1;;;;;;1;;;;;;;;;;;1;1;;;1;;;;;;1;3;1;;2;;;402;1;;;;;1;;;;;;;6;17;;;;;1;
538778;7124;;;;;;13;;;;;;;;1;;;;;;;;;1;;;;4;;;1;;1;;2;;;;3;;;;;;;;;;;;1;1;;;;;;;;;1;;;1;;;419;;;;;;1;;;;;;;4;19;;;;;;
538779;7349;;;;;;24;;2;;;;;;;;;;;;;;;5;;1;1;7;;;;;2;;2;;;3;2;;;;;1;;1;;;;;3;2;;;;1;;;;;;;;2;;;388;;;;;;;;;;;;;6;20;;;;;;
538780;7620;;;;;;14;;;;;;;;;;;;;;;;;4;;;;2;;;;;3;;;;;1;;;;;1;;;2;;;;;4;;;;;;;1;;;;;;;;;420;1;;;;;;;;;;;;1;14;;;;1;;
538782;7845;;;;;;18;;2;;1;;;;2;;;;;;;;1;2;;1;;3;;;;;4;;;;;;;;;;;;;;;;;;5;;;;;;;1;;;;;;5;;;383;;;1;;;;;;;;;;9;20;1;;;;;
538781;8092;;;;;;29;;2;;;;;;1;;;;;;;1;;1;;2;;6;;;;;6;;;;;;1;;;;;;;;;;;;2;;;;;;;1;;;;4;;3;;;351;;;;;;1;;;;;;;7;13;1;;;;1;
538783;8317;1;;1;;;18;1;2;;3;;;;;;;;;;;;1;3;;;;5;;;;;9;;;;;;1;;;;;;;1;;1;1;;1;;;1;;;;3;;;;1;1;6;;;350;;;;;;;;;;;;;14;20;;;1;;;
538786;8542;;;;;;39;;2;;;;;;1;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;2;;;;;;;5;;1;;4;;2;;;368;;;;;;;1;;;;;;11;7;;;;;1;
538784;8768;;;;;;28;;1;;;;;;2;;;;;;;;;1;;;;2;;;;;;;;;;2;;;;;;;;;;;;1;3;;;;;;;6;;;;6;;;;;348;;;;;;;;;;;;;12;11;;;;;1;2
538785;8993;;1;;;;24;;5;;;;;;;;;;;;;1;2;1;;4;;3;;;;;;;;;;1;;;;;;;;;;;2;;4;;;1;;;;3;;;;5;;;;;356;;;;;;;;;;;;;17;11;;;;3;1;
538789;9218;;;;;;37;;4;;;;;;;;;;;;;;1;1;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;3;;;;4;;;;;378;;;;;;;;;;;;;16;5;;;;;;
538787;9443;;;;;;23;;1;;4;;;;2;;;;;;;;;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;4;;1;;5;;;;;354;;;;;;;;;;;;;10;5;;;;;;
538788;9555;;;;;;18;;;;5;;;;6;;;;;;;;;2;;1;;5;;;;;;;;;;1;;;;;;;;1;;;;;6;;;1;;;;3;1;;;2;;;;;380;;;;;;1;;;;;;;9;6;;;2;;;
538790;9780;;;;;;23;;4;;;;;1;1;;;;;;;;;3;;2;;2;;;;;2;;1;;;2;;;;;;;;1;;;2;;2;;;;;;;1;;;;1;;;;;374;;;;;;;;;;;;;3;17;;;;;;
538791;9893;;;;;;24;;6;;3;;;;3;;;;;;1;;;2;;2;;5;;;;;1;;;;;1;;;;;;;;1;;1;;;5;;;1;;;;3;;;;2;;3;;;393;;;;;;;;;;;;;11;3;;;1;;;
538792;10090;1;;;;;36;;5;;;;;;6;;;;;;;;;5;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;18;1;;;;;;6;;;;5;;1;;;341;;;;;;;;;;1;;;3;2;;;;;;
538793;10216;1;;;;;42;;4;;;;;;9;;;;;;;;;4;;2;;4;;;;;;;;;;;1;;;;;;;1;;;;1;5;;;;;;;6;;;;6;;;;;352;1;;;;;;;;;1;;;3;3;;;;;;
538794;10330;1;;;;;9;;6;;;;;;9;;;;4;;;;;3;;2;;3;;;;;;;;;;;;;;;;;;;;1;;;9;;;;;;;9;;;;;;;1;;383;;;;;;;;;;;;;;2;;;;;;1
538795;10445;;;;;;6;;4;;;;;;11;;;;;;;;;5;2;;;;;;;;1;;;1;;;1;;;;;;;;;1;;;2;;;;;;;3;;;;;;;;;383;;;;;;;;;;;;;1;1;;;;;;
538797;10559;;;;;;2;;11;;;;;;7;;;;;;;;;1;;1;;;;;;;1;;;1;;2;3;;;;;2;;;;;;1;4;;;;;1;;1;;;;1;;;;;398;1;;;;;;;;;;;;;1;;;;;;
538796;10673;;;;;;1;;2;;;;;;2;;;;;;;;;2;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;3;;;;;;;1;;413;;;;;;;;;;;;;;1;;1;;;;
538798;10787;1;;;;;2;;8;;;;;1;5;1;;;;1;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;1;3;;;;;1;;5;;;;3;;1;;;400;1;;;;;;;;;;;;1;;;;1;;;
538801;10901;;;;;;;;6;;;;;;;;;;;;;;;3;1;5;;1;;;;;;;;;;2;1;;;;;1;;;;;;;1;;;;;;;5;;;;3;;;1;;376;;;;;;2;;;;;;;;;;;;;;
538799;10981;;;;;;3;;4;;;;;;1;;;;11;;;;;2;;4;;;;;;;;;;;;1;;;;;;1;;;;;;;2;;;1;;;;3;;;;2;1;1;;;268;;;;;;;;;;;;;;;;;;;;
538800;11073;;;;;;4;;7;;;;;1;1;;;;;;;;;6;;1;;1;;;;;;;;;;1;2;;;;;;;;;;;1;1;;;;;;;5;;;;1;;;;;380;;;;;;;;;1;;;;1;4;;;;;;
538802;11130;;;;;;3;;3;;;;;1;1;;;;;;;;;5;;;;3;;;;;4;;;1;;;1;;;;;1;;;;;;1;2;;;;;;;3;;;;2;;1;;;394;;;;;;;;;;;;;1;2;;;;;;
538803;11244;;;;;;3;;3;;;;;1;;;;;;;;;;7;1;2;;;;;1;;;;;;;1;1;;;;;2;;;1;;;;2;;;;;;;4;;;;;;1;;;395;;;;;;;;;;;;;2;3;;;;;;
538804;11370;;;;;;;;8;;;;;1;;;;;;;;;;3;;4;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;407;;;;;;;;;;;;;;1;;;;;;
538806;11484;;;;;;;;4;;;;;;2;;;;;;;;;3;1;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;414;;;;;;;;;;;;;;;;;;;;
538805;11541;;;;;;;;17;;;;;;16;;;;;;;;;1;;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;381;;1;;;;;;;;;;;;;;;;;;
