Sample ID;Calibrated radiocarbon years BP;Acacia;Acalypha cf. A. crenata;Acanthaceae;Adansonia digitata;Adenia;Adina;Afraegle;Afzelia cf. A. africana;Alchornea;Allophylus;Amaranthaceae;Anacardiaceae;Annonaceae;Antidesma;Apiaceae;Apocynaceae;Araliaceae;Arecaceae;Artemisia;Asteraceae;Balanites;Blepharis;Blighia;Bombax;Boraginaceae;Borassus/Hyphaene;Boswellia;Brassicaceae;Bridelia;Burkea africana;Butyrospermum;Caesalpinioideae;Capparaceae;Caryophyllaceae;Cassia;Celastraceae;Celtis;Centaurea;Chrozophora;Cissampelos cf. C. mucronata;Cissus;Clematis;Clerodendrum;Cochlospermum;Cola cf. C. cordifolia;Combretaceae;Commelinaceae;Commiphora;Convolvulaceae;Corchorus;Cordia;Crossopteryx febrifuga;Croton;Cucumis;Cucurbitaceae;Cussonia;Detarium;Diospyros;Dombeya cf. D. buetnerii;Elaeis guineensis;Elaeis guineensis;Ephedra;Ericaceae;Erythrina;Euphorbiaceae;Faboideae;Ficus;Grewia;Heliotropium;Hymenocardia;Indigofera;Ipomoea;Irvingiaceae;Isoberlinia;Ixora;Justicia;Khaya;Kohautia;Lamiaceae;Lannea/Sclerocarya;Liliaceae;Lobelia;Lophira;Lythraceae;Macaranga;Maerua;Mallotus;Malvaceae;Manilkara;Menispermaceae;Mitracarpus hirtus;Mitragyna;Monocotyledoneae;Monotes lutambensis;Moraceae;Morelia senegalensis;Mussaenda;Nauclea;Olea capensis subsp. hochstetteri;Parkia;Paullinia pinnata;Persicaria cf. P. senegalensis;Phoenix cf. P. reclinata;Phyllanthus;Piliostigma;Pinus;Poaceae;Podocarpus;Polycarpaea;Polygonaceae;Prosopis;Pterocarpus;Raphia;Rhus;Rubiaceae;Rutaceae;Salix cf. S. ledermanii;Salvadora;Sapindaceae;Securinega virosa;Solanum;Spermacoce;Sterculia;Strychnos;Syzygium;Tacazzea apiculata;Talinum;Tapinanthus;Thunbergia;Thymelaeaceae;Trema orientalis;Uapaca;Urticaceae;Vernonia;Vitaceae;Vitex;Ximenia americana;Ziziphus;cf. Dialium;cf. Scrophulariaceae
478926;9306;;2;;;8;;;;5;;2;;;;;;;;;2;;;;;;1;;;2;14;1;;;;;;2;;;;;1;;;1;16;1;;;;;;;;;20;1;4;;;;;;;2;2;2;;;3;;;;;7;;1;;;;;;1;;1;;6;;;;;;1;;;;;;33;;;;3;;;;467;;2;;;3;;;;;;;;;;3;;;1;;;;;;;117;;;1;;;;;
478927;9405.5;;;;;3;;;;16;;2;;1;;;;;;;5;;;;;;;;;;6;;;;;2;;;;;;;2;;;;18;;;;;;;;;;4;;7;;;;;;;;2;11;;;9;2;;;;10;;;;2;4;;;;;2;;5;1;;2;;;;;2;1;;;41;;;;1;;;;422;;;;;;;;3;;;;;;;2;;;3;;;;;;;118;;;;;;;;
478928;9551;;;;;8;;;;13;;1;;;;;;;;;2;;;;;;;;;1;8;2;1;;;;;2;;;;;;;;2;10;;;;;;;;;;5;;5;;;;;;;;2;3;;;1;;;;;9;;;;2;2;;;;;3;;8;;;;;;;;;;1;1;65;;;;2;;;;587;;;;;;;;;;;1;;;;1;;;3;;;;;;;110;;;;;;;;
478930;9750.1;;;1;;6;;;;8;;1;;1;;;;;;;6;;;;;;;;;;6;;1;;;2;;;;;1;;1;;;;12;1;;;;;1;;;;4;;;1;;;;;;1;6;2;;;;;;;;;;;;;1;;;1;;4;;1;;;;;;;;;;;;44;;;;2;;;;420;;;;;;;;;;1;;;1;;2;;;3;;;;;1;;84;;;;;;;;
478929;9903.2;;;;;3;;;;12;;1;;1;;;;;;;2;;;;;;;;;;5;;;;;;;1;;;;2;;;;1;17;;;;1;;1;;;;1;;4;;3;;;;;2;1;3;;;;;;1;;2;;1;;;3;;;1;;1;;3;;;;;;;;1;;;;92;;;;4;;;;405;;1;;;;;;;;;;;;;2;;;1;;;;2;1;;104;;;;;;;;
478931;10048.7;;;;;12;;;;13;;2;;;2;;;;;;6;;;1;;;;2;;1;2;;1;;;;;1;;;;;1;;;1;30;;;;;;8;;;;1;1;4;2;;;;;;;;4;1;;;;;;;10;1;;;;4;;;;;4;;2;;;;;;;;;;;;68;;;;20;;;;495;;;;;;;;;;2;;;;;1;;;4;;;;;;;63;;;;;;;;1
478932;10194.2;;;;;6;;;;10;1;3;;;;;;;;;5;;;;;;;1;;;2;;1;;;2;;2;;;;;1;;;5;28;;;;;;2;;;;4;;4;1;1;;;;;;5;1;1;;;;;;;5;;;;;2;;;1;;3;;7;;;;;;;;;;;;99;;;;7;;;;527;;;;;;;;;;1;;;;;1;;;4;;;;1;;;46;;;;;;;;
478933;10347.3;;;;;2;;;;8;;3;;;;;;;;1;4;;;;;;;;;;2;;;;;1;;4;;;;;;;;;16;;;;;;2;;;;;;1;;1;;;;;;6;3;1;;;2;1;;;;;;;;4;;;;;5;;2;;;;;;2;;;;;1;112;;1;;5;;1;;478;;;;;;;;;1;;;;;;;;;2;;;;;;;17;;;;;;;;1
478934;10485.1;;;;;4;;;;6;;3;;;;;;;;;4;;;;;;;;;2;1;;;;;1;;1;;;;;;;;;23;;;;;;4;;;;1;;2;;;;;;;;3;4;;;1;;;;;3;;;;2;;;;1;1;;;5;;;;;;;;1;;;;121;;;;2;;1;;596;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;
478935;10638.3;;;;;5;;;;3;;4;;;;;;;;;5;;;;;;;2;;1;3;;;;;1;;2;;;;;;;;1;7;;;;;;1;;;;8;;;;;;;;;4;2;3;;;;;;;;3;;1;;;3;;;;;;;1;;;1;;;;;;;;4;108;;1;;;;;;577;;;;;;;;;;;;;;;;;;2;;;;1;;;10;;;;;;;;3
478936;10783.8;;;;;6;;;;1;;;1;;;;1;;;;7;;;;;;;;;;3;;2;;;1;;;;;;;;;;;20;;;;;;;;;;4;;;;;;;;;1;2;1;1;;;;;;;3;;;1;;5;;;;;1;;1;;;;;;;;;;;;95;;;;;;1;;560;;;;;1;;;;;;;;;;;;;3;;;;;;;4;;;3;;;;;
478937;10929.2;;;;;4;;;;4;1;7;;2;;1;;;;;5;;;;;;;;;;;;;;;;;1;;;;;2;;;;16;1;;;;;1;;;;8;;;;;;;;;;3;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;26;;;;;;;;510;;;;;;;;;;;;;;;;;;2;;;;;;;6;;;1;;;;;2
478938;11106.8;;;;;3;;;;;;1;;;;;;;;;8;;;;;;;1;;;1;;2;;;1;;;;;;;1;;;;13;;;;;;;;;;4;;;;1;;;;;1;1;;;;;;;;;2;;;;1;1;;;;;;;;;;;;;;;;;;;63;;;;;;;;627;;;;;;;;;;;;;;;;;;2;;;;;;;5;;;;;;;;
478939;11853.9;;;;;3;;;;1;;3;;2;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;;;13;;;;;;1;;;;1;;1;;;;;;;;3;;1;;;;;;;;;;;;2;;;;;;;;1;;1;;;1;;;;;;4;;;;;;;;640;;;;1;;;;;;;;;;;;;;2;;;;;;;2;;;;;;;;
478940;12210.3;1;;;;4;;;;;;12;;;;;;;;;2;;;;;;;;;;;;;;;1;;1;;;;;;;;;20;;;;;;;;;;1;;;1;;;;;;;;;1;;;;;;;;;1;;;8;1;;;;;;;;;;;;1;;;;;;7;;;3;;;1;;745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478941;12330.2;;;;;2;;;;;;15;;3;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;8;;;;;;1;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;4;;;;;;;;613;;;;;;;;;;;;;;;;;;1;;;;;;;3;;;;;;;;1
478942;12450.1;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478943;12576.4;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478944;12696.3;;;;;;;;;;;5;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478945;12822.5;;;;;;;;;;;57;;;;;;;;;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478946;12879.3;;;;;;;;;;;34;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478947;12999.3;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;463;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478948;13087.6;;;;;;;;;;;1;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;403;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
