Sample ID;Calibrated radiocarbon years BP;Acalypha cf. A. crenata;Adenia;Alchornea;Amaranthaceae;Asteraceae;Burkea africana;Celtis;Combretaceae;Crossopteryx febrifuga;Cussonia;Ficus;Hymenocardia;Ixora;Lannea/Sclerocarya;Mallotus;Olea capensis subsp. hochstetteri;Phoenix cf. P. reclinata;Poaceae;Securinega virosa;Spermacoce;Uapaca;cf. Scrophulariaceae
478921;8423.9;;2;7;1;;8;;17;;8;3;12;2;1;10;5;;607;;3;182;
478922;8639.4;;5;4;1;2;8;7;5;;7;;12;3;2;3;10;1;459;;11;121;1
478923;8786.8;;3;14;;3;9;;9;;5;5;6;1;2;3;6;;427;;1;102;
478924;8991;4;9;12;;4;9;8;17;1;2;2;6;10;1;4;11;1;477;1;;166;
478925;9138.4;;3;5;2;9;16;9;18;3;11;5;11;16;11;3;16;2;560;1;4;120;
478926;9306;2;8;5;2;2;14;2;16;;20;2;3;7;;6;33;3;467;;3;117;
478927;9405.5;;3;16;2;5;6;;18;;4;11;9;10;4;5;41;1;422;;2;118;
478928;9551;;8;13;1;2;8;2;10;;5;3;1;9;2;8;65;2;587;;1;110;
478930;9750.1;;6;8;1;6;6;;12;1;4;2;;;1;1;44;2;420;1;2;84;
478929;9903.2;;3;12;1;2;5;1;17;1;1;3;;2;3;3;92;4;405;;2;104;
478931;10048.7;;12;13;2;6;2;1;30;8;1;4;;10;4;2;68;20;495;;1;63;1
478932;10194.2;;6;10;3;5;2;2;28;2;4;1;;5;2;7;99;7;527;;1;46;
478933;10347.3;;2;8;3;4;2;4;16;2;;3;;;4;2;112;5;478;;;17;1
478934;10485.1;;4;6;3;4;1;1;23;4;1;4;1;3;;5;121;2;596;;;12;
478935;10638.3;;5;3;4;5;3;2;7;1;8;3;;3;3;1;108;;577;;;10;3
478936;10783.8;;6;1;;7;3;;20;;4;1;;3;5;1;95;;560;;;4;
478937;10929.2;;4;4;7;5;;1;16;1;8;;;;2;;26;;510;;;6;2
478938;11106.8;;3;;1;8;1;;13;;4;;;2;1;;63;;627;;;5;
478939;11853.9;;3;1;3;;;;13;1;1;;;;2;;4;;640;;;2;
478940;12210.3;;4;;12;2;;1;20;;1;;;;8;;7;;745;;;;
478941;12330.2;;2;;15;1;;;8;1;;1;;;;;4;;613;;;3;1
478942;12450.1;;;;5;;;;;;;;;;;;;;135;;;;
478943;12576.4;;;;;20;;;;;;;;;;;;;84;;;;
478944;12696.3;;;;5;6;;;;;;;;;;;;;142;;;;
478945;12822.5;;;;57;5;;;;;;;;;;;;;843;;;;
478946;12879.3;;;;34;1;;;;;1;;;;;;2;;461;;;;
478947;12999.3;;;;2;1;;;;;;;;;;;5;;463;;;;
478948;13087.6;;;;1;;;;;;;;;;;;;;403;;;;
