"name","group","element","units","context","S437858","S437859","S437860","S437861","S437862","S437863","S437864","S437865","S437866","S437867","S437868","S437869","S437870","S437871","S437872","S437873","S437874","S437875","S437876","S437877","S437878","S437879","S437880","S437881","S437882","S437883","S437884","S437885","S437886","S437887","S437888","S437889","S437890","S437891","S437892","S437893","S437894","S437895","S437896","S437897","S437898","S437899","S437900","S437901","S437902","S437903","S437904","S437905","S437906","S437907","S437908","S437909","S437910","S437911","S437912","S437913","S437914","S437915","S437916","S437917","S437918","S437919","S437920","S437921","S437922","S437923","S437924","S437925","S437926","S437927","S437928","S437929","S437930","S437931","S437932","S437933","S437934","S437935","S437936","S437937","S437938","S437939","S437940","S437941","S437942","S437943","S437944","S437945","S437946","S437947","S437948","S437949","S437950","S437951","S437952","S437953","S437954","S437955","S437956","S437957","S437958","S437959","S437960","S437961","S437962","S437963","S437964","S437965","S437966","S437967","S437968","S437969","S437970","S437971","S437972","S437973","S437974","S437975","S437976","S437977","S437978","S437979","S437980","S437981","S437982","S437983","S437984","S437985","S437986","S437987","S437988","S437989","S437990","S437991","S437992","S437993","S437994","S437995","S437996"
Commelina-type (C. benghalensis),UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Commiphora,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commiphora edulis subsp. boiviniana-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coptosperma-type (C. graveolens),TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus volkensii,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
Crassocephalum-type (C. montuosum),UPHE,pollen,NISP,,,,,,,,3,,,,,4,,,,,,1,,1,,,3,,,3,,,,2,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,15,,14,,7,,9,,,,,4,,,,,,,,,,,,,,,,,,,3,,9,,,,,,,,,,,,,,,,,,,,,,,,
Croton-type,TRSH,pollen,NISP,,,,,,1,1,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,1,2,,1,,,,,2,,,,,1,,,,,,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
Cucurbitaceae,UPHE,pollen,NISP,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyathula-type (C. orthacantha),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Cyperaceae,UPHE,pollen,NISP,,194,292,266,207,246,288,176,291,305,324,310,423,302,343,472,459,446,349,236,295,311,249,281,232,236,205,330,217,177,247,382,235,181,252,238,197,158,151,110,94,169,269,274,59,274,357,544,402,419,228,519,384,465,295,582,320,342,276,224,174,288,156,192,229,267,79,101,328,313,491,556,558,314,398,417,465,814,683,677,499,1263,1308,1229,630,375,183,253,192,191,218,193,234,167,319,198,365,321,214,158,191,144,144,129,63,145,423,277,366,186,311,247,250,326,176,257,144,160,126,155,256,333,217,112,36,43,141,55,84,71,106,76,138,283,156,129,74,112,157,124
Dichondra-type (D. micrantha),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diospyros,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dipsacoideae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Dodonaea viscosa,TRSH,pollen,NISP,,1,2,3,1,,1,3,,,,1,1,,,,,1,,,,6,,1,1,2,,1,,,,2,,1,2,,,,,,,1,1,,,,,1,,,2,,,,,,,,1,,,,1,1,,,,1,2,,3,1,2,1,1,,,,,,,1,,,,,1,,,,,,,,1,,1,1,,,,1,,1,,,,1,1,,,,5,1,,1,,1,,,,,,,,1,3,2,4,5,,2,2,3,1,,1,1,,
Dombeya-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekebergia-type,TRSH,pollen,NISP,,,,,1,,,,,,,,1,1,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embelia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Entada-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericaceae,TRSH,pollen,NISP,,3,3,1,1,3,5,13,3,,,1,2,4,1,1,3,2,1,1,1,1,1,,4,3,,,1,,2,4,,,2,3,6,3,,2,3,,1,2,2,1,2,4,3,3,2,1,,6,2,1,3,6,10,11,8,5,4,7,8,12,4,4,13,13,10,11,11,13,10,10,14,20,14,34,8,14,10,33,18,13,25,17,7,6,15,33,17,13,51,18,13,9,7,14,11,9,14,4,4,4,12,18,12,4,10,8,18,11,8,22,14,28,30,16,19,26,17,100,22,67,24,39,46,24,57,21,32,79,20,36,8,7,8,12
Eriocaulaceae,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,2,1,,,1,2,3,6,20,3,27,44,26,17,31,3,1,3,6,,3,1,2,1,3,4,4,1,2,,,7,4,,,2,2,,,,,,,,,,,,,
Erythrococca-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euclea,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,
Euphorbia,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia hirta-type,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faboideae,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,1,2,,,,3,,,2,1,,2,,,,,,3,2,,,,,,,4,,1,,,,,,,,,,,,,,,,,,4,,,1,,1,1,1,1,,4,4,1,3,3,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,4,3,1,10,5,10,20,2,,,,,,,1,1,2,,,,,,1,,,,,,1,,,,
Ficus,TRSH,pollen,NISP,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flabellaria-type (F. paniculata),UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galiniera coffeoides,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,
Garcinia volkensii-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,1,,,2,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Geranium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,2,1,1,2,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Hagenia abyssinica,TRSH,pollen,NISP,,2,2,3,2,3,4,1,10,4,5,15,19,9,3,3,1,2,1,,1,3,7,2,3,,3,,1,,1,2,3,2,,,4,2,5,7,5,8,2,3,11,2,,1,,2,2,,2,1,,,2,1,3,3,2,1,2,3,1,1,1,1,3,1,2,2,3,1,2,3,4,2,,,2,1,1,3,,,,1,1,1,,1,2,,1,1,,3,,,,,,3,,2,2,2,2,,2,1,,2,,3,,1,12,,1,3,1,,,,2,,,1,,,,1,,,,,1,1
Harungana,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliotropium steudneri-type,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
Hydrocotyle,AQVP,pollen,NISP,,1,2,1,,1,,1,,3,,,1,1,,2,1,3,5,,2,4,2,5,1,1,2,1,2,1,,1,,1,,,1,,,1,,,,2,,,,,,2,2,1,,1,,,1,,1,1,,1,,1,2,,,,1,,2,,1,1,,,1,,,,,,,1,1,6,1,,1,1,,1,1,,1,,1,,,,1,,,1,1,1,,,,,,,1,,,2,,,,,2,1,,,,,1,,1,1,2,,,1,,1,,,1,
Hymenodictyon-type (H. floribundum),TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Hypericum,UPHE,pollen,NISP,,,1,3,1,4,,,8,,,2,1,1,5,2,2,3,,7,2,3,,,3,3,,1,6,2,,2,,3,1,,,1,4,1,1,2,2,2,2,10,2,,2,1,2,3,1,2,,1,3,,2,1,4,1,1,1,2,2,6,1,,1,,,1,1,2,,,,,,,,1,,,,2,,,,,,1,,1,,,1,5,8,6,11,8,32,23,1,,1,1,,,1,,,,,3,2,2,1,,1,,,,1,,1,,9,3,,4,1,,2,3,1,,4
Hypoestes-type,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ilex mitis,TRSH,pollen,NISP,,,,,,,,,,,,,2,,,1,,,,,,3,1,3,1,,2,1,2,1,1,1,,,,,2,1,1,1,2,1,4,2,4,2,,1,,,3,,,,,,,,,1,3,2,1,,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,1,,,,2,,,,1,,,,1,,2,3,4,1,2,1,5,2,1,1,4,,2,2,,3,11,2,5,3,1,2,5
Impatiens,UPHE,pollen,NISP,,,1,,,2,,,2,2,,3,3,1,3,1,3,4,4,2,2,5,,3,,2,,,2,1,,5,,,3,,2,2,,,1,1,1,,,,,,,,1,,,,,,,1,,,1,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,1,,,,,1,,,,1,,,5,,,
Ipomoea-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoglossa,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,1,,1,,1,2,1,,,,,,,,,,2,,,1,,1,,1,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,
Jasminum,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Juniperus procera,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Kotschya-type,UPHE,pollen,NISP,,,,,,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,1,,,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,,,,1,,,,1,,,2,1,,1,,,,,,,,,1,,,,,,1,1,1,,,,,,,,1,1,,,,2,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,2,,,,,,
Lannea-type,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurembergia tetrandra,UPHE,pollen,NISP,,4,1,1,2,3,3,11,1,2,,1,,1,,,,,,,1,2,1,1,,1,,2,,1,,5,2,,1,,,,,,,,1,,1,,,,,,,3,1,,,,1,4,,2,3,10,32,11,27,6,3,3,,1,,,4,,2,,,,,,,,,2,,,,,,,,,,,1,1,,,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,2,2,1,2,2,4,2,4,2
Leucas-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobelia,UPHE,pollen,NISP,,1,2,1,1,1,4,,3,,1,,,1,1,1,2,1,2,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,2,,5,,2,1,2,,,,1,,,,,,,,1,,,2,3,,,,1,2,1,,3,2,,,1,4,3,1,1,,1,1,,,,1,,3,3,4,,,1,
Loranthaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum,UPHE,pollen,NISP,,,,,,,,,,2,,1,,,1,1,,1,3,3,2,4,8,10,5,5,4,1,1,1,1,14,,1,3,5,2,1,2,4,1,,3,1,2,1,,,,,1,,1,,,,,,1,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaranga,TRSH,pollen,NISP,,2,12,12,14,11,10,3,14,7,10,6,21,8,9,12,18,17,10,5,7,6,5,13,2,4,5,6,10,3,6,2,6,4,9,1,7,10,6,10,10,4,6,6,10,10,5,11,8,8,5,11,7,9,2,7,9,14,13,13,13,12,10,12,3,13,4,6,11,15,9,2,6,4,8,9,7,2,1,,2,1,1,1,1,1,2,2,1,5,1,1,3,,5,3,,1,1,7,3,2,4,11,2,,3,2,,1,2,1,,2,1,1,4,6,5,13,3,5,7,8,5,8,11,4,11,2,6,5,17,12,11,10,37,19,25,11
Maerua-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maesa lanceolata-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaritaria-type (M. discoidea),UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melastomataceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimulopsis-type,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,1,,,,1,,1,1,,1,1,,1,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,,,,1,
Mitragyna-type (M. rubrostipulata),TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,1,,1,1,1,,,,,,1,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,
Monocotyledoneae undiff.,SEED,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,1,3,,2,,1,,2,,,,2,4,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
Monoletes,PTER,spore,NISP,,6,11,29,24,27,26,80,29,43,55,33,58,39,21,71,32,44,47,36,64,57,84,210,95,99,112,58,186,69,108,94,113,80,101,57,128,143,117,77,127,115,159,92,108,48,54,79,66,76,152,92,76,93,70,96,72,97,64,96,97,56,68,18,24,37,79,110,32,14,29,17,22,15,32,11,23,34,12,33,20,22,11,29,22,36,23,11,7,22,7,21,56,15,28,28,4,9,,28,6,6,15,28,12,15,23,24,9,16,16,21,26,42,2,11,11,35,23,39,15,38,13,8,7,3,20,29,19,15,51,15,56,137,44,37,82,96,62,42
Moraceae,TRSH,pollen,NISP,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,2,,1,,,,1,,1,,,,3,,,,,,4,2,2,1,,1,1,2,,,3,,,3,,1,,2,,3,,1,,,,,,1,,1,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
Myrica,TRSH,pollen,NISP,,,,,,,,4,,1,,,3,,,,,,,,1,2,,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,1,1,1,,2,,,,,,,1,2,5,1,6,1,2,2,3,1,5,3,3,2,2,4,3,2,6,2,1,4,7,1,2,3,3,2,4,1,,,,1,1,3,5,3,6,4,4,1,4,14,5,3,7,4,,5,1,1,8,7,2,,,6,2,2,1,4,3,1,2,,,1,4,,
Myrsine africana,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Nuxia/Ficalhoa,TRSH,pollen,NISP,,,3,1,1,2,4,4,,7,3,6,5,2,2,3,5,4,9,4,3,6,2,22,14,11,8,9,39,14,11,3,17,12,19,10,12,32,8,20,29,9,19,9,17,3,7,5,12,9,21,8,6,14,3,11,15,10,4,18,13,10,3,2,7,10,33,19,3,2,1,,,3,6,1,2,2,,4,1,2,,,,1,,2,,4,1,5,17,3,1,4,,,1,,,1,1,2,1,1,,,,,,3,1,2,1,,,2,,2,1,6,,,1,,2,3,5,,3,,4,9,2,2,12,1,4,5
Nymphaea lotus-type,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oldenlandia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,1,,2,6,,,1,1,,
Olea capensis,TRSH,pollen,NISP,,1,2,,5,2,2,6,2,3,2,1,12,5,3,1,8,,5,6,4,6,7,6,5,4,8,2,5,2,9,2,3,5,5,6,5,5,3,2,5,,7,4,4,,,7,3,2,8,1,3,5,1,1,1,2,1,5,,7,3,5,3,3,2,7,8,7,6,2,11,5,2,12,2,6,3,4,3,5,2,6,1,7,2,7,1,1,4,3,2,1,12,3,2,5,7,9,3,8,5,1,1,,7,9,3,3,7,2,6,7,4,17,7,8,4,10,10,8,7,3,8,9,20,12,12,7,17,13,16,41,12,17,13,19,11,15
Olea europaea,TRSH,pollen,NISP,,,,,,1,2,,1,,,1,,1,,1,,,,,,,,,,,,1,,,2,,,2,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,1,2,,1,,4,,2,,,,,,1,,,,1,,1,1,,1,,1,2,1,3,2,2,2,1,,3,,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,,
Onagraceae,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ormocarpum-type (O. trichocarpum),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
