Sample ID;RUM 2;Acalypha;Alchornea;Allophylus;Amaranthaceae;Anthospermum;Apiaceae;Apodytes;Artemisia;Asteraceae;Brassicaceae;Canthium;Capparaceae;Cardamine;Cassipourea;Celtis;Cissampelos;Clausena;Clematis;Cleome;Cliffortia;Combretum;Commelina;Commiphora;Cordia;Cornus subg. Afrocrania;Croton;Cuscuta;Dombeya;Drypetes;Ericaceae;Euclea;Euphorbia;Faurea;Ficus;Gnidia;Gunnera;Hagenia;Heliotropium;Hypericum;Hypoestes;Hyptis;Ilex;Impatiens;Ipomoea;Iridaceae;Juniperus;Justicia;Kedrostis;Lamiaceae;Lasianthus;Leucas;Liliaceae;Macaranga;Maesa;Moraceae;Myrica;Neoboutonia;Nuxia;Olea;Phyllanthus;Poaceae;Podocarpus;Polyscias;Protea;Prunus;Rapanea;Ricinus;Rubiaceae;Rumex;Sapotaceae;Schefflera;Stemodia;Stephania;Stoebe;Syzygium;Tarenna;Terminalia;Urticaceae;Valeriana;Vernonia
428990;7270;;9;;;;51;;3;55;;;3;;;;;;;;;;;;;8;;;4;;20;1;2;;;;;1;8;;;;1;1;;22;4;;;2;;;;3;;;3;4;1;1;1;134;68;40;;1;;;;;;18;;;4;4;;;;3;
428991;7717;;5;;;;9;;3;89;;1;1;;;;;;;2;1;;;;;3;;3;3;;3;;3;1;;6;;1;5;;;;1;2;;1;3;;;1;;;;;1;1;4;;;1;;48;18;22;;;1;;;;;31;;;;1;;;1;;
428992;8166;;11;;2;;1;;;48;;;;;;;;;;;1;;;;;9;;;2;;2;;1;;;;;2;2;;;;4;;;;2;;;;;;;5;;;3;2;;8;;82;26;49;;;10;;;;;108;;;;1;;;;;
428993;8737;2;2;1;;;4;1;2;59;;6;;;;;;;;;39;;;29;;62;22;;12;;11;;4;;;;;111;;;;;43;;;21;8;1;;5;6;;;1;;;;2;;34;2;158;177;604;;;11;;;1;;55;;;;;84;;78;;
428994;9304;;1;;1;;;;;30;3;;;;;;;;;;;;;;;14;;;4;;3;;;;;;;14;1;;;;16;;;;;;;1;;;;;;;;3;;6;;35;7;33;;;;;;;;168;;;;;;;67;2;
428995;9691;;;;;;;;;62;;;;;;;;;;;1;;;102;;21;2;;;;3;;;;4;;;37;;;;;10;;;2;;1;;4;;;;;;;;;;10;;29;13;113;;;3;;;;;8;;;;;36;;10;;
428996;10066;;;;;;1;;1;44;1;;;;;1;;;;;;;;;;14;1;;7;;1;;;;;;;4;;;;;10;1;;;1;;;;;;;5;;;2;;;2;;45;15;12;;;;;;;;285;;;;;;;19;3;
428997;10520;;2;1;2;1;5;;1;61;;;;;;;;;;;13;;;1;;10;4;;15;;8;;1;;;;4;12;;;;;1;2;;;1;;;;;;;1;;;5;;;3;3;63;6;297;;;;;;;;41;;;;;;;3;;
428998;10974;;1;1;;;10;;;54;;;;;;;;;;;5;;1;;;6;1;;4;;;;;;;;;6;1;;;;1;;;;4;;;;;;;1;;;1;1;;2;;19;2;16;;;;;2;;;131;;;;;;;1;;
428999;11456;;;;;;;1;5;108;;5;;;;;;;;;5;;;;;5;1;;3;;3;;12;;5;;;53;;;;;;;;1;1;13;;;;;;;;;;;;;;76;2;145;;;13;;1;;;11;;;;;17;;27;;
429000;11939;;;1;;;5;;1;40;;;;;;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;1;;;2;10;1;;;;;;3;;;;;;1;;74;6;;;;;;;;;25;;;;;;;70;1;
429001;12316;;;;;;;5;16;35;;;;;;;;;;;1;;;;;10;1;;4;;2;;6;;;;;5;;;;;;;;36;11;25;;;;;;;;;2;;;2;;160;3;12;;;6;3;;8;;10;;;;;;;70;;
429002;12694;;;1;1;;6;1;2;57;;;;;;;;;;5;2;;;;;4;1;;3;;1;;1;;;;;17;;;;;1;;;7;10;;;1;;;;2;;;;;1;3;;190;6;2;;;;;;;;97;;;;;;;3;;
429003;13146;;;;;;5;4;5;123;;;;;;;;;;;;;;;;8;1;;;;2;;;;;;;19;;;;;6;;;10;12;3;;2;;;;;;;;;;25;;120;21;33;;1;3;;;6;;4;;;;;22;;28;;
429004;13599;;4;1;;;15;;6;40;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;19;2;;;;1;;;;23;;;;3;;;2;;;1;;;4;;176;20;1;;;;;;;;42;;;;;;;5;;
429005;14019;;;;1;;;1;31;36;;;;;;;;;;;1;1;;;;;;;4;;4;;;;6;;;42;;;;;;;;5;12;;;3;2;;;;;;;;;;;162;16;10;;;10;;;;;11;;;;;;1;45;;
429006;14437;;2;;;;4;;9;32;2;;;;;;;;;;;;;;;;;;2;;3;;;;;;;34;;;;;;;;;11;;;;2;;;;;;1;;;5;;111;31;3;;;;;;;;71;;;;;;;87;;
429007;14912;;7;;1;;9;;5;71;;;;;;1;;;;;2;;;;;;;;6;;2;;;;;;;30;;;;;;1;;;3;;;;;;;6;;;;1;;5;2;69;36;167;;;;;;;;7;;;;;;;14;;
429008;15385;1;37;13;5;;41;3;21;327;;;33;;;25;;;;;;;;;;10;8;;27;10;39;;;;;;;508;;61;;5;21;4;;;1;1;;2;5;;;;6;;10;;;22;2;365;216;506;;;88;40;9;;3;75;123;3;3;;;;;;
429009;15511;;;3;1;1;9;1;6;62;;;;;;;;;;;8;;;;;5;1;;8;;12;;;;;;;59;;;;;3;;;2;3;;;5;;;;;;;1;;;3;;38;43;147;;;41;;1;;;17;;;;;;;1;;
429010;15634;;2;2;3;3;7;;16;50;;;15;;;11;;;;;;;;;;4;5;;13;;21;;;;;;;340;;8;;5;13;;;;;;;;;;;;;4;3;1;;21;;209;128;193;;;31;2;31;;;14;31;;2;;;;;;
429011;15740;;9;1;4;;7;;6;24;;;;;5;;;;;;31;;;;;;;;8;;4;;;;;;;84;;;;;;;;;;;;;;;;2;3;;4;;;14;;85;50;83;;;;;;;;3;;;5;;;;1;;
429012;15850;;5;6;5;4;5;;12;68;;;25;;;7;;;;;;;;;;13;7;;5;;8;;;;;;;71;;28;;5;2;;;;;;;;;;;;;104;3;;;11;;146;70;113;;;22;10;17;;;3;7;;;;;;;;
429013;15953;;;2;1;;2;;13;49;;;7;1;1;;;;;;2;3;;;;4;1;;3;1;1;;;1;;;1;3;1;;;2;;;;;4;;;7;2;1;;;;7;;;1;3;;88;38;4;;1;24;;1;;;1;1;;;;;;3;;
429014;16059;;2;;1;;;;6;9;;1;30;;;1;;;1;;;;;1;;2;;;1;;19;;;;;;;4;1;1;;1;;;;;;1;1;;;;1;;1;5;1;;;7;;144;18;7;;;;1;1;;;11;14;;;;;;1;;
429015;16163;;2;;;1;1;;5;12;1;;11;;;;;;1;1;4;1;1;1;1;1;1;;1;;4;1;;;;;1;1;1;1;;1;1;1;;;5;;;2;1;1;;1;;;1;;;6;;17;26;1;;;;;1;;;1;4;;;;;;1;;
429016;16267;;;;1;2;1;;5;41;;;;;;2;;;;;;;;;;1;;;3;;;;;;;;;3;;2;;2;1;;;;;;;;;;;;;;;;;12;;255;41;8;;;4;;3;;;1;;;8;;;;;;
429017;16372;1;;1;1;;2;;17;9;1;;1;2;;;1;;;;3;2;;;1;1;4;1;1;;2;;;;1;;;7;1;;;1;1;4;;;3;;;2;;;1;1;1;;1;;;2;;131;43;1;1;;9;;2;;;2;;;;2;;;3;;1
429018;16481;1;1;1;;1;;;17;16;;;2;;1;18;1;;;;3;;;;;3;2;1;1;1;1;;;;;;;5;;1;2;3;5;;;1;3;2;;1;;1;2;;;7;2;;;6;;111;22;3;;;3;;37;1;1;1;;;1;1;;;1;3;
429019;16584;1;1;1;;1;1;;13;22;1;;1;;;1;;1;1;1;3;;;2;1;1;1;1;;;3;;1;;1;2;;10;1;;;1;1;48;;1;17;;;1;;;2;;1;2;1;;;5;;29;28;11;;1;5;;1;3;;3;;1;27;;;;2;1;1
429020;16796;;;;1;;2;;12;15;;;;;1;1;;;;;5;;;1;;1;;;;;2;;;;;;;5;;;;1;;;;2;30;;;6;;;;;;;2;;;6;;92;76;2;;;30;;1;;;;;;40;;;;;;
429021;16908;;;2;1;6;2;;5;18;;;4;;;;;;;;;;;;;;3;;3;;2;;1;;;;;36;3;3;;;;4;;35;2;;;;;;;;;;15;1;;;;86;27;27;;;13;;6;;;7;2;;;;;;;;
429022;17215;1;1;1;5;1;1;1;7;8;;;1;1;1;1;;1;;;12;;;2;;1;2;;1;1;9;;1;1;;;1;3;1;;;;1;44;;1;10;;;1;1;;;1;;;2;;1;3;;92;50;11;;1;1;;;1;1;1;1;;33;;;1;;;1
429023;17310;;;2;1;1;1;1;39;9;1;;;;1;1;1;1;;;1;2;;1;;;2;1;1;;2;1;1;;;;;11;;1;;1;1;3;;11;69;;1;;;;;1;;;3;;;11;;48;40;12;1;1;1;1;;;;2;7;;1;;;;;6;
429024;17408;;;;1;;2;1;6;17;;;;;;1;;;;;11;;;2;;;1;;6;;10;;;;;;;28;;;;1;1;;;;10;;;5;;;;;;;;;;7;;94;73;8;;;62;;5;;;6;;;12;;;;153;;
429025;17602;;;;1;;1;;12;26;;;;;;;;;;;3;;;1;;5;;;2;;7;;;;;;;35;;;;2;1;;;;15;;;2;;;;23;;;;;;5;;65;71;1;;;30;;1;;;;;;18;;;;15;;
429026;17699;;;2;;2;2;;30;32;;;19;;;1;;;;;;;;;;;2;;1;;10;;2;;;;;73;;5;;2;;;;10;78;;;;;;;;;;1;;;10;;130;116;;;;13;;;;;1;20;;;;;;;;
429027;18079;;;3;1;;6;;44;34;;;22;;;1;;;;;;;;;;;;;;;6;;1;;;;;117;2;7;;2;;1;;;184;;;;;;;;;;1;2;;27;;177;197;17;;;13;;;;;;14;;;;;;;1;
429028;18278;1;1;2;2;1;8;1;18;7;2;;4;1;;1;;1;3;2;1;;1;;;;1;1;1;1;5;;;;;2;;27;1;1;;;;2;;;27;1;1;;1;;;1;;;;2;1;1;;55;31;2;1;1;5;;3;3;;;9;;;;1;1;1;;1
429029;18472;;;5;3;;10;;46;33;;;12;;;2;;;;;;;;;;;1;;3;;8;;11;;;;;76;3;13;;;;1;;1;98;;;;;;;;;;2;5;;16;;275;167;8;;;6;;2;;;7;13;;2;;;;;2;
429030;18667;;;1;2;;7;;40;45;;;17;;;7;;;;;;;;;;;3;;4;;17;;;;;;;125;;;;;;;;;99;;;;;;;;;;;3;;27;;165;176;18;;;16;;;;;3;11;;;5;;;;3;
429031;18862;1;;1;3;;4;1;28;19;2;;2;;1;3;1;;;;;;2;1;;;1;;2;;9;1;;;1;;;36;2;7;;1;1;1;1;;43;1;1;;1;;;1;;6;2;2;1;6;;51;78;2;;;9;;1;1;;1;11;1;5;;1;1;1;1;1
429032;19067;3;;;2;1;4;3;7;50;;;2;;;2;;;;;;;;;;;;;4;;16;;;;;;;42;2;;;1;1;;;1;166;;;;;;;;;1;;;1;12;;114;128;;;;6;;;;;;3;;20;;;;;;2
429033;19266;1;1;;;1;1;;11;41;2;;4;;;4;;;1;;;1;3;1;1;;1;1;1;;2;;;1;;1;;38;1;3;;;1;;;1;60;3;;1;1;;1;;1;1;;;1;3;1;44;71;1;;;1;;;;1;7;;;10;;;1;1;;4
429034;19469;;;4;;2;;;4;20;3;4;;;;6;;;;;;;;;;;;;;;15;;;;;;;35;1;;;1;4;;;;94;7;;;;;;;;2;2;;;19;;65;93;12;;;;;;;;26;;;7;;;;1;;4
429035;19674;;;;3;;3;;9;36;;;5;;;3;;;;;;;;;;;;;;;8;;1;;;;;18;;;;;1;;;;128;4;;1;;;;;;;1;;;13;;113;95;10;;;;;;2;;;;;28;;;;;;1
429036;19889;;;;4;;2;;36;26;1;5;2;;;9;;;;2;;;1;;;;;;;;3;;2;;;;;65;1;;;1;;;;;168;1;;;;3;;;;;1;2;;12;;120;129;2;;;8;;;3;;;;;27;;;;;;2
429037;20098;;;1;1;;1;;7;24;;2;;;;2;;;;;;;;;;;;;;;8;;;;;;;36;;;;1;2;;;;87;1;;1;;;;;;;;;;14;;71;65;;;;6;;;;;;;;16;2;;;2;;
429038;20313;;;;4;;2;;6;19;4;1;;;;6;1;;;2;;;;;;;;;1;;5;;;;;;;35;;;;;;;;1;112;;;;;2;;;;;;;;10;;67;42;1;1;;1;;;;;;;;14;;;;;;1
429039;20515;1;1;2;;1;4;;3;9;1;;;;;2;1;;;;1;1;2;;1;1;;;1;;5;;;;1;;;19;3;;;;;;1;1;53;1;;2;1;;;1;1;;2;;2;5;1;73;47;2;1;;1;1;4;;;;;;20;;;1;;1;1
429040;20719;;;5;6;4;4;;18;46;2;1;;;;12;;;;;;;1;;;;;;;;10;;;;;;;29;2;1;;1;1;;;;274;1;;;;;;;;;5;;;25;;126;147;27;;8;;;;;;;1;;48;;;;;;1
429041;20919;1;1;1;3;2;1;;3;18;3;1;;;2;2;2;1;3;5;;;2;;;;1;1;1;;11;1;;;1;;;7;3;2;;7;1;;;;53;;1;1;2;;;1;1;2;1;1;;16;1;61;66;2;1;5;1;2;;1;;1;11;1;24;1;;1;;1;1
429042;21135;;;1;;3;;;5;26;;1;;;;6;;;;;;;;;;;;;7;;13;;1;;;;;80;;;;1;2;1;;;45;1;;;;;;1;;;;;;11;;72;157;10;;8;5;;;;;;2;;36;;;;;;3
429043;21399;;17;1;1;1;5;1;18;27;1;;1;1;1;6;1;;;;1;1;3;;;1;1;1;;;4;;1;1;;;;9;;1;;2;1;;1;1;99;1;1;;1;1;1;12;;;2;;1;18;1;71;72;4;;4;1;;1;1;;19;1;;2;1;1;1;;1;1
429044;21659;;16;;1;;5;;10;25;1;;;;;;;1;;;;;;;;;1;;;;8;;1;;;;;11;;;;;1;;;;77;;;;;;;7;;;1;;4;10;;71;81;6;;;;;;;;;;;10;;;;;;
429045;21927;;5;1;4;;4;;4;15;;;;;;1;;;;;;;;;;;;;;;8;;;;;;;9;;;;;;;;;68;;;;;;;6;;;;;4;11;;55;110;;;;;;;;;14;;;34;1;;;;;
429046;22190;1;2;;;;3;;9;35;;;;;;2;;;;;;2;;;;;;;1;;6;;;;;;;9;;;;;1;;;;75;;;1;;;;14;;;1;;3;21;;71;100;;;;;;;;7;14;;;35;1;;;1;;
429047;22708;;10;;1;;2;;17;18;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;8;;;;;;;;;41;;;1;;;;3;;;1;;2;8;;53;57;1;;;;;;;;6;;;34;;;;;;
429048;22958;;11;2;1;;8;;25;24;;1;;;;;;;;;8;;1;;;;2;;;;3;;;;;;;1;;;;;;;;;9;;;;;;;;;;3;1;;;;81;118;42;;;;;;;;3;;;14;;;;;1;
429049;23223;;22;;;;;;3;15;;;;;;;;;;;;;;;;;1;;;;5;;;;;;;9;;;;;1;;;;100;;;;;;;1;;;;;;2;;57;113;6;;;;;;;;;;;30;;;;;;
429050;23728;;1;;1;1;1;1;2;10;4;;;;4;1;;3;1;1;1;;5;1;;;1;;;1;6;;1;;1;;3;3;2;;;;;;;2;15;2;4;;;1;1;5;;;3;;2;5;1;52;133;3;1;1;;;2;1;1;3;;3;16;1;;1;1;2;1
429051;24042;;;2;1;1;3;;7;44;;;1;;1;;;;1;2;;1;;2;1;3;1;1;3;;4;1;;1;2;;2;11;1;;;3;;;;1;83;1;2;11;1;1;;17;1;;2;;2;29;4;107;159;1;;1;28;1;1;1;;4;;2;71;;1;;5;1;
429052;24148;;1;10;;;1;;;15;;;;;;4;;;;;;;;;;;;;;;7;;;;;;;5;;;;;17;;;16;;;;;;;;;;;;;;;;40;18;25;;;;;;;;85;;;;1;;;9;1;
429053;24358;;1;5;1;1;7;1;23;21;1;;;1;1;2;1;;;;3;1;1;;;;5;;;;2;;;;2;;2;13;1;;;1;3;;;4;20;;;1;1;5;;14;;;1;;;7;;55;98;6;;2;2;;;1;1;3;;1;5;;;;;2;
429054;24569;;3;;2;;4;;6;12;1;;;;;;;;;;;1;;;;;;;;;3;;;;;;;5;;;;;;;;;88;;;;;;;1;;;;;1;13;;79;183;1;;;;;;;;6;;;56;;;;;;
429055;24776;;3;;1;1;3;1;11;3;2;2;;;;;4;3;;;3;;;1;2;;1;;;3;7;2;;;1;;1;3;;1;2;1;1;;;1;13;;1;;;;2;1;;;1;;1;15;2;36;114;5;;;1;;;;;4;;1;11;;;;1;;
429056;24989;;4;1;3;;2;;;3;;;;;;1;;;;;;;;;;;;;1;;5;;;;;;;7;;;;;;;;;57;;;;;;;8;;;;;1;14;;62;150;;1;;;;;;;6;;;35;;;;;;
429057;25505;;4;;1;;3;;4;25;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;68;;;;;;;7;;;;;;14;;79;110;2;;;;;;1;;7;;;43;;;;;;
429058;25664;;3;;;;10;;7;10;;;;;;;;;;;;;;;;;;;;;6;;;;3;;;2;;;;;2;;;3;82;;;1;;;;11;;;;;;13;;96;157;;;;15;;1;;;3;;;15;;;;7;;
429059;25823;;6;;;;4;;4;25;;;;;;6;;;;;;;;;;;;;;;3;;;;;;;8;;;;1;;2;;;90;;;;;;;;;;1;;;30;;65;104;;;;8;;1;2;;4;4;;35;;;;;;
429060;25980;;11;;3;;2;;27;37;;;;;;;;;;;1;;;1;;;2;;;;3;;;;;;;2;;;;;;;;;25;;;;;;;8;;;;;;17;;61;115;9;;;;;;2;;4;;;19;;;1;;;
429061;26242;;24;;;;7;;9;20;;;;;;7;;;;;;;;;;;;;1;;2;;;;;;;3;;;;2;2;;;;76;;1;;;;;;;;;;;15;;70;136;4;;;15;;2;1;;15;1;;29;;;;;;
429062;26488;;3;;4;2;5;;2;6;1;3;;;1;3;1;;;;1;;;1;;;;;;;3;;;;;;;5;;;;1;;;;1;21;2;;2;1;;;7;1;;;;1;12;2;54;102;;3;;6;5;;;;9;7;1;38;;1;5;1;;
429063;26706;;13;4;7;;11;;11;19;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;13;;;;;1;1;;;90;;;;;;;;;;1;;;2;;102;215;2;;;21;;2;;;17;20;;43;;;;;;
429064;26796;;8;2;3;1;1;;13;12;;;;;;;;;;;;;;3;;;;;1;;4;;;;;;;9;;;;;;;;;24;;1;;2;;1;10;3;;1;;;8;;52;36;10;;;;;1;;;7;11;;18;;;;;;
